Wall time,Step,Value
1673720266.895654,1,0.32624998688697815
1673720278.860241,2,0.3805113732814789
1673720290.524377,3,0.3854261338710785
1673720302.614754,4,0.4005397856235504
1673720314.921084,5,0.41062501072883606
1673720326.787339,6,0.41335228085517883
1673720338.749764,7,0.4149147868156433
1673720350.432965,8,0.41738635301589966
1673720362.613187,9,0.4233238697052002
1673720374.471414,10,0.43284091353416443
1673720386.413086,11,0.4303693175315857
1673720398.327631,12,0.43184658885002136
1673720410.195574,13,0.4309374988079071
1673720422.359417,14,0.43261364102363586
1673720434.13642,15,0.44065341353416443
1673720445.920164,16,0.4364204406738281
1673720457.957587,17,0.44045454263687134
1673720470.073009,18,0.4427841007709503
1673720481.966039,19,0.43843749165534973
1673720493.806548,20,0.43928977847099304
1673720505.650843,21,0.435653418302536
1673720517.578789,22,0.44093748927116394
1673720529.658804,23,0.4377841055393219
1673720541.368057,24,0.4385795593261719
1673720553.177132,25,0.432272732257843
